algo,op,mean_ops,std_ops,mean_ms,std_ms,reps,pk,sk,ct,ss,sig
ML-KEM-512,keypair,,,,,,,,,,
ML-KEM-512,keygen,,,,,,,,,,
ML-KEM-512,encaps,10859.86,542.917121156116,0.09228046286163533,0.004410101897699157,10.0,800.0,32.0,32.0,,
ML-KEM-512,decaps,10232.74,431.4118583854136,0.097874025750179,0.003915989729952398,10.0,800.0,32.0,32.0,,
ML-KEM-512,sign,,,,,,,,,,
ML-KEM-512,verify,,,,,,,,,,
ML-KEM-768,keypair,,,,,,,,,,
ML-KEM-768,keygen,,,,,,,,,,
ML-KEM-768,encaps,6932.45,11.288957239513032,0.14424949148759314,0.0002349656609637324,10.0,1184.0,32.0,32.0,,
ML-KEM-768,decaps,6343.8099999999995,15.761588329437526,0.15763485481455963,0.0003925387641659483,10.0,1184.0,32.0,32.0,,
ML-KEM-768,sign,,,,,,,,,,
ML-KEM-768,verify,,,,,,,,,,
ML-KEM-1024,keypair,,,,,,,,,,
ML-KEM-1024,keygen,,,,,,,,,,
ML-KEM-1024,encaps,4755.55,72.9166076190239,0.21032609562237892,0.0032954729871491686,10.0,1568.0,32.0,32.0,,
ML-KEM-1024,decaps,4329.2,60.273229731135565,0.2310306814856676,0.0032818527574762797,10.0,1568.0,32.0,32.0,,
ML-KEM-1024,sign,,,,,,,,,,
ML-KEM-1024,verify,,,,,,,,,,
ML-DSA-44,keypair,,,,,,,,,,
ML-DSA-44,keygen,,,,,,,,,,
ML-DSA-44,encaps,,,,,,,,,,
ML-DSA-44,decaps,,,,,,,,,,
ML-DSA-44,sign,306.2241,2.5970507396746036,3.265793268711234,0.027641491295798248,10.0,2420.0,2420.0,,,2420.0
ML-DSA-44,verify,1465.4466,0.5630903223384185,0.6823859244548902,0.0002622044030964541,10.0,2420.0,2420.0,,,2420.0
ML-DSA-65,keypair,,,,,,,,,,
ML-DSA-65,keygen,,,,,,,,,,
ML-DSA-65,encaps,,,,,,,,,,
ML-DSA-65,decaps,,,,,,,,,,
ML-DSA-65,sign,189.0747,2.5709047283441313,5.2897925814518665,0.07172624823134587,10.0,3309.0,3309.0,,,3309.0
ML-DSA-65,verify,943.6224,0.2609228068052247,1.0597460051938583,0.0002930259681173974,10.0,3309.0,3309.0,,,3309.0
ML-DSA-87,keypair,,,,,,,,,,
ML-DSA-87,keygen,,,,,,,,,,
ML-DSA-87,encaps,,,,,,,,,,
ML-DSA-87,decaps,,,,,,,,,,
ML-DSA-87,sign,160.61599999999999,3.1970891274546727,6.228284800373972,0.12591564620532875,10.0,4627.0,4627.0,,,4627.0
ML-DSA-87,verify,599.15,0.16145174717752392,1.6690312364876494,0.00044968080523588393,10.0,4627.0,4627.0,,,4627.0
